Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,279.01001,279.329987,278.059998,278.730011,252.305679,77097600
2018-06-15,276.600006,277.51001,275.350006,277.130005,251.983749,120041600
2018-06-18,275.48999,276.700012,274.950012,276.559998,251.465454,52917600
2018-06-19,274.0,275.75,273.529999,275.5,250.50174,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,250.929108,53785500
2018-06-21,275.959991,275.980011,273.679993,274.23999,249.355972,71061400
2018-06-22,275.660004,275.790009,274.48999,274.73999,249.810593,54898500
2018-06-25,273.440002,273.619995,269.100006,271.0,246.409973,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,246.955536,68547400
2018-06-27,272.26001,273.869995,269.179993,269.350006,244.909714,105110700
2018-06-28,269.290009,271.75,268.48999,270.890015,246.309967,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,246.664581,97592500
2018-07-02,269.51001,272.040009,269.23999,271.859985,247.191864,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,246.319046,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,248.328568,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,250.428955,66493700
2018-07-09,276.549988,277.959991,276.5,277.899994,252.683899,50550400
2018-07-10,278.410004,279.01001,278.079987,278.899994,253.593124,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,251.738251,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,254.020493,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,254.220627,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,253.993149,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,255.02066,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,255.557159,44593500
2018-07-19,280.309998,280.73999,279.459991,280.0,254.593307,61412100
2018-07-20,279.769989,280.480011,279.5,279.679993,254.302414,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,254.775208,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,256.057281,68026900
2018-07-25,281.329987,284.369995,281.279999,284.01001,258.239471,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,257.63028,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,255.884521,76768700
2018-07-30,281.51001,281.690002,279.359985,279.950012,254.547943,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,255.802612,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,255.37532,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,256.76651,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,257.866699,53935400
2018-08-06,283.640015,284.98999,283.200012,284.640015,258.812347,39400900
2018-08-07,285.390015,286.01001,285.23999,285.579987,259.667023,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,259.557922,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,259.203278,35717000
2018-08-10,283.450012,284.059998,282.359985,283.160004,257.466614,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,256.502808,65732900
2018-08-14,282.920013,284.170013,282.480011,283.899994,258.139496,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,256.211884,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,258.284943,69967900
2018-08-17,283.829987,285.559998,283.369995,285.059998,259.194183,65618500
2018-08-20,285.570007,285.970001,285.059998,285.670013,259.74884,39807500
2018-08-21,286.25,287.309998,285.709991,286.339996,260.358124,67272000
2018-08-22,285.880005,286.76001,285.579987,286.170013,260.203522,44993300
2018-08-23,285.970001,286.940002,285.429993,285.790009,259.857971,49204900
2018-08-24,286.440002,287.670013,286.380005,287.51001,261.421936,57487400
2018-08-27,288.859985,289.899994,288.679993,289.779999,263.485901,57072400
2018-08-28,290.299988,290.420013,289.399994,289.920013,263.613281,46943500
2018-08-29,290.160004,291.73999,289.890015,291.480011,265.031708,61485500
2018-08-30,290.940002,291.359985,289.630005,290.299988,263.95874,61229500
2018-08-31,289.839996,290.809998,289.290009,290.309998,263.967804,66140800
2018-09-04,289.839996,290.209991,288.679993,289.809998,263.513184,57594400
2018-09-05,289.410004,289.640015,287.890015,289.029999,262.804016,72452400
2018-09-06,289.149994,289.48999,287.0,288.160004,262.012939,65909900
2018-09-07,286.980011,288.700012,286.709991,287.600006,261.503693,73524800
2018-09-10,288.73999,289.040009,287.880005,288.100006,261.958374,50210900
2018-09-11,287.369995,289.549988,286.980011,289.049988,262.822205,50530500
2018-09-12,289.059998,289.799988,288.230011,289.119995,262.885834,59810800
2018-09-13,290.320007,291.040009,290.0,290.829987,264.440674,51034200
2018-09-14,291.059998,291.269989,290.0,290.880005,264.486145,55079900
2018-09-17,290.820007,290.859985,289.029999,289.339996,263.085876,68244000
2018-09-18,289.579987,291.579987,289.549988,290.910004,264.513397,61930400
2018-09-19,290.970001,291.690002,290.829987,291.220001,264.795319,49080600
2018-09-20,292.640015,293.940002,291.23999,293.579987,266.941223,100360600
2018-09-21,293.089996,293.220001,291.809998,291.98999,266.697205,105479700
2018-09-24,291.339996,291.5,290.369995,291.019989,265.81131,53409600
2018-09-25,291.529999,291.649994,290.480011,290.75,265.564606,44370000
2018-09-26,290.910004,292.23999,289.410004,289.880005,264.77002,79739700
2018-09-27,290.410004,291.910004,290.100006,290.690002,265.509796,59249500
2018-09-28,289.98999,291.279999,289.950012,290.720001,265.537262,70091400
2018-10-01,292.109985,292.929993,290.980011,291.730011,266.459839,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,266.304565,47258200
2018-10-03,292.73999,293.209991,291.320007,291.720001,266.450653,64694600
2018-10-04,291.179993,291.23999,287.660004,289.440002,264.368103,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,262.888458,105951700
2018-10-08,287.049988,288.220001,285.5,287.820007,262.888458,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,262.504791,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,254.193069,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,248.594147,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,252.046707,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,250.630981,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,256.111237,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,256.156891,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,252.457764,134557500
2018-10-19,277.130005,279.299988,275.470001,276.25,252.320602,139901600
2018-10-22,277.0,277.359985,274.410004,275.01001,251.188095,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,249.909363,146352700
